"","num.groups","group.size","outbreak.size"
"1",500,1,10
"2",500,2,11
"3",500,3,10
"4",500,4,16
"5",500,5,22
"6",500,6,39
"7",500,7,22
"8",500,8,10
"9",500,9,604
"10",500,10,767
"11",500,11,787
"12",500,12,791
"13",500,13,865
"14",500,14,829
"15",500,15,894
"16",500,16,828
"17",500,17,932
"18",500,18,925
"19",500,19,953
"20",500,20,939
"21",1000,1,10
"22",1000,2,10
"23",1000,3,16
"24",1000,4,10
"25",1000,5,14
"26",1000,6,70
"27",1000,7,415
"28",1000,8,474
"29",1000,9,622
"30",1000,10,731
"31",1000,11,769
"32",1000,12,821
"33",1000,13,863
"34",1000,14,850
"35",1000,15,916
"36",1000,16,904
"37",1000,17,929
"38",1000,18,939
"39",1000,19,937
"40",1000,20,947
"41",1500,1,10
"42",1500,2,10
"43",1500,3,14
"44",1500,4,10
"45",1500,5,10
"46",1500,6,102
"47",1500,7,192
"48",1500,8,432
"49",1500,9,644
"50",1500,10,751
"51",1500,11,734
"52",1500,12,850
"53",1500,13,853
"54",1500,14,848
"55",1500,15,928
"56",1500,16,900
"57",1500,17,936
"58",1500,18,924
"59",1500,19,950
"60",1500,20,957
"61",2000,1,10
"62",2000,2,10
"63",2000,3,10
"64",2000,4,19
"65",2000,5,14
"66",2000,6,25
"67",2000,7,34
"68",2000,8,436
"69",2000,9,697
"70",2000,10,712
"71",2000,11,766
"72",2000,12,856
"73",2000,13,801
"74",2000,14,887
"75",2000,15,890
"76",2000,16,893
"77",2000,17,928
"78",2000,18,930
"79",2000,19,944
"80",2000,20,941
"81",2500,1,10
"82",2500,2,10
"83",2500,3,10
"84",2500,4,10
"85",2500,5,30
"86",2500,6,20
"87",2500,7,86
"88",2500,8,628
"89",2500,9,588
"90",2500,10,698
"91",2500,11,778
"92",2500,12,794
"93",2500,13,821
"94",2500,14,865
"95",2500,15,914
"96",2500,16,912
"97",2500,17,933
"98",2500,18,950
"99",2500,19,950
"100",2500,20,948
"101",3000,1,10
"102",3000,2,12
"103",3000,3,10
"104",3000,4,13
"105",3000,5,18
"106",3000,6,25
"107",3000,7,401
"108",3000,8,565
"109",3000,9,655
"110",3000,10,785
"111",3000,11,758
"112",3000,12,833
"113",3000,13,887
"114",3000,14,831
"115",3000,15,879
"116",3000,16,924
"117",3000,17,921
"118",3000,18,889
"119",3000,19,938
"120",3000,20,963
"121",3500,1,10
"122",3500,2,10
"123",3500,3,18
"124",3500,4,13
"125",3500,5,18
"126",3500,6,20
"127",3500,7,52
"128",3500,8,16
"129",3500,9,603
"130",3500,10,696
"131",3500,11,761
"132",3500,12,808
"133",3500,13,860
"134",3500,14,849
"135",3500,15,884
"136",3500,16,901
"137",3500,17,920
"138",3500,18,920
"139",3500,19,951
"140",3500,20,964
"141",4000,1,10
"142",4000,2,10
"143",4000,3,12
"144",4000,4,16
"145",4000,5,38
"146",4000,6,24
"147",4000,7,16
"148",4000,8,501
"149",4000,9,603
"150",4000,10,748
"151",4000,11,760
"152",4000,12,861
"153",4000,13,858
"154",4000,14,885
"155",4000,15,903
"156",4000,16,909
"157",4000,17,936
"158",4000,18,933
"159",4000,19,941
"160",4000,20,941
"161",4500,1,10
"162",4500,2,11
"163",4500,3,18
"164",4500,4,25
"165",4500,5,18
"166",4500,6,212
"167",4500,7,293
"168",4500,8,17
"169",4500,9,722
"170",4500,10,743
"171",4500,11,817
"172",4500,12,842
"173",4500,13,842
"174",4500,14,873
"175",4500,15,889
"176",4500,16,912
"177",4500,17,903
"178",4500,18,927
"179",4500,19,932
"180",4500,20,950
"181",5000,1,10
"182",5000,2,11
"183",5000,3,10
"184",5000,4,19
"185",5000,5,30
"186",5000,6,86
"187",5000,7,16
"188",5000,8,597
"189",5000,9,671
"190",5000,10,658
"191",5000,11,808
"192",5000,12,800
"193",5000,13,869
"194",5000,14,870
"195",5000,15,923
"196",5000,16,924
"197",5000,17,946
"198",5000,18,954
"199",5000,19,930
"200",5000,20,939
"201",5500,1,10
"202",5500,2,10
"203",5500,3,18
"204",5500,4,13
"205",5500,5,18
"206",5500,6,15
"207",5500,7,142
"208",5500,8,578
"209",5500,9,581
"210",5500,10,685
"211",5500,11,817
"212",5500,12,788
"213",5500,13,857
"214",5500,14,880
"215",5500,15,911
"216",5500,16,883
"217",5500,17,920
"218",5500,18,931
"219",5500,19,938
"220",5500,20,947
"221",6000,1,10
"222",6000,2,10
"223",6000,3,14
"224",6000,4,16
"225",6000,5,14
"226",6000,6,25
"227",6000,7,10
"228",6000,8,568
"229",6000,9,551
"230",6000,10,719
"231",6000,11,804
"232",6000,12,832
"233",6000,13,888
"234",6000,14,863
"235",6000,15,882
"236",6000,16,932
"237",6000,17,914
"238",6000,18,950
"239",6000,19,956
"240",6000,20,952
"241",6500,1,10
"242",6500,2,12
"243",6500,3,10
"244",6500,4,13
"245",6500,5,22
"246",6500,6,121
"247",6500,7,287
"248",6500,8,415
"249",6500,9,669
"250",6500,10,733
"251",6500,11,821
"252",6500,12,858
"253",6500,13,863
"254",6500,14,867
"255",6500,15,926
"256",6500,16,934
"257",6500,17,907
"258",6500,18,907
"259",6500,19,957
"260",6500,20,945
"261",7000,1,10
"262",7000,2,10
"263",7000,3,10
"264",7000,4,16
"265",7000,5,10
"266",7000,6,62
"267",7000,7,16
"268",7000,8,511
"269",7000,9,659
"270",7000,10,718
"271",7000,11,767
"272",7000,12,791
"273",7000,13,858
"274",7000,14,882
"275",7000,15,894
"276",7000,16,928
"277",7000,17,933
"278",7000,18,945
"279",7000,19,911
"280",7000,20,939
"281",7500,1,10
"282",7500,2,12
"283",7500,3,10
"284",7500,4,10
"285",7500,5,54
"286",7500,6,30
"287",7500,7,16
"288",7500,8,548
"289",7500,9,680
"290",7500,10,739
"291",7500,11,773
"292",7500,12,822
"293",7500,13,867
"294",7500,14,860
"295",7500,15,906
"296",7500,16,883
"297",7500,17,926
"298",7500,18,947
"299",7500,19,940
"300",7500,20,960
"301",8000,1,10
"302",8000,2,11
"303",8000,3,12
"304",8000,4,16
"305",8000,5,34
"306",8000,6,77
"307",8000,7,209
"308",8000,8,487
"309",8000,9,735
"310",8000,10,746
"311",8000,11,714
"312",8000,12,738
"313",8000,13,826
"314",8000,14,894
"315",8000,15,840
"316",8000,16,860
"317",8000,17,853
"318",8000,18,933
"319",8000,19,957
"320",8000,20,945
"321",8500,1,10
"322",8500,2,10
"323",8500,3,12
"324",8500,4,19
"325",8500,5,30
"326",8500,6,20
"327",8500,7,204
"328",8500,8,584
"329",8500,9,672
"330",8500,10,629
"331",8500,11,10
"332",8500,12,811
"333",8500,13,10
"334",8500,14,869
"335",8500,15,906
"336",8500,16,905
"337",8500,17,924
"338",8500,18,945
"339",8500,19,935
"340",8500,20,949
"341",9000,1,10
"342",9000,2,11
"343",9000,3,14
"344",9000,4,10
"345",9000,5,94
"346",9000,6,93
"347",9000,7,336
"348",9000,8,301
"349",9000,9,647
"350",9000,10,762
"351",9000,11,795
"352",9000,12,856
"353",9000,13,878
"354",9000,14,883
"355",9000,15,849
"356",9000,16,918
"357",9000,17,933
"358",9000,18,936
"359",9000,19,919
"360",9000,20,958
"361",9500,1,10
"362",9500,2,12
"363",9500,3,12
"364",9500,4,22
"365",9500,5,25
"366",9500,6,103
"367",9500,7,16
"368",9500,8,549
"369",9500,9,10
"370",9500,10,719
"371",9500,11,718
"372",9500,12,796
"373",9500,13,876
"374",9500,14,889
"375",9500,15,876
"376",9500,16,913
"377",9500,17,868
"378",9500,18,952
"379",9500,19,944
"380",9500,20,942
"381",10000,1,10
"382",10000,2,10
"383",10000,3,10
"384",10000,4,22
"385",10000,5,22
"386",10000,6,190
"387",10000,7,10
"388",10000,8,456
"389",10000,9,638
"390",10000,10,691
"391",10000,11,796
"392",10000,12,837
"393",10000,13,803
"394",10000,14,880
"395",10000,15,894
"396",10000,16,913
"397",10000,17,956
"398",10000,18,948
"399",10000,19,945
"400",10000,20,965
