"","group.size","outbreak.size"
"1",1,10
"2",1,10
"3",1,10
"4",1,10
"5",1,10
"6",1,10
"7",1,10
"8",1,10
"9",1,10
"10",1,10
"11",2,10
"12",2,10
"13",2,10
"14",2,10
"15",2,10
"16",2,10
"17",2,11
"18",2,11
"19",2,11
"20",2,12
"21",3,15
"22",3,18
"23",3,10
"24",3,13
"25",3,11
"26",3,10
"27",3,18
"28",3,14
"29",3,12
"30",3,11
"31",4,17
"32",4,17
"33",4,16
"34",4,18
"35",4,18
"36",4,19
"37",4,19
"38",4,23
"39",4,16
"40",4,15
"41",5,24
"42",5,25
"43",5,27
"44",5,13
"45",5,12
"46",5,37
"47",5,28
"48",5,31
"49",5,22
"50",5,28
"51",6,42
"52",6,144
"53",6,195
"54",6,100
"55",6,181
"56",6,51
"57",6,64
"58",6,248
"59",6,82
"60",6,348
"61",7,577
"62",7,540
"63",7,562
"64",7,498
"65",7,574
"66",7,536
"67",7,551
"68",7,583
"69",7,398
"70",7,598
"71",8,706
"72",8,767
"73",8,753
"74",8,750
"75",8,798
"76",8,720
"77",8,773
"78",8,715
"79",8,744
"80",8,759
"81",9,873
"82",9,840
"83",9,831
"84",9,858
"85",9,838
"86",9,839
"87",9,836
"88",9,860
"89",9,870
"90",9,850
"91",10,911
"92",10,913
"93",10,903
"94",10,908
"95",10,913
"96",10,881
"97",10,889
"98",10,930
"99",10,928
"100",10,905
"101",11,946
"102",11,941
"103",11,940
"104",11,941
"105",11,946
"106",11,918
"107",11,950
"108",11,948
"109",11,931
"110",11,943
"111",12,965
"112",12,958
"113",12,965
"114",12,952
"115",12,962
"116",12,957
"117",12,955
"118",12,966
"119",12,962
"120",12,959
"121",13,974
"122",13,975
"123",13,976
"124",13,976
"125",13,971
"126",13,968
"127",13,975
"128",13,978
"129",13,968
"130",13,970
"131",14,978
"132",14,981
"133",14,982
"134",14,980
"135",14,986
"136",14,982
"137",14,982
"138",14,979
"139",14,977
"140",14,986
"141",15,988
"142",15,990
"143",15,990
"144",15,988
"145",15,986
"146",15,992
"147",15,989
"148",15,989
"149",15,996
"150",15,988
"151",16,995
"152",16,993
"153",16,993
"154",16,991
"155",16,992
"156",16,993
"157",16,986
"158",16,992
"159",16,997
"160",16,995
"161",17,994
"162",17,998
"163",17,995
"164",17,996
"165",17,992
"166",17,997
"167",17,995
"168",17,991
"169",17,993
"170",17,995
"171",18,998
"172",18,994
"173",18,998
"174",18,994
"175",18,992
"176",18,995
"177",18,998
"178",18,997
"179",18,998
"180",18,996
"181",19,999
"182",19,998
"183",19,998
"184",19,993
"185",19,997
"186",19,996
"187",19,997
"188",19,998
"189",19,998
"190",19,1000
"191",20,998
"192",20,997
"193",20,1000
"194",20,997
"195",20,999
"196",20,1000
"197",20,997
"198",20,998
"199",20,998
"200",20,999
