"","gathering.size","gatherings.per.hour","outbreak.size"
"1",1,0.2,10
"2",1,0.4,10
"3",1,0.6,10
"4",1,0.8,10
"5",1,1,10
"6",1,1.2,10
"7",1,1.4,10
"8",1,1.6,10
"9",1,1.8,10
"10",1,2,10
"11",1,2.2,10
"12",1,2.4,10
"13",1,2.6,10
"14",1,2.8,10
"15",1,3,10
"16",1,3.2,10
"17",1,3.4,10
"18",1,3.6,10
"19",1,3.8,10
"20",1,4,10
"21",2,0.2,10
"22",2,0.4,10
"23",2,0.6,10
"24",2,0.8,13
"25",2,1,11
"26",2,1.2,11
"27",2,1.4,10
"28",2,1.6,10
"29",2,1.8,10
"30",2,2,10
"31",2,2.2,13
"32",2,2.4,11
"33",2,2.6,10
"34",2,2.8,12
"35",2,3,10
"36",2,3.2,11
"37",2,3.4,10
"38",2,3.6,12
"39",2,3.8,11
"40",2,4,10
"41",3,0.2,12
"42",3,0.4,14
"43",3,0.6,14
"44",3,0.8,17
"45",3,1,10
"46",3,1.2,10
"47",3,1.4,13
"48",3,1.6,11
"49",3,1.8,13
"50",3,2,14
"51",3,2.2,18
"52",3,2.4,10
"53",3,2.6,12
"54",3,2.8,17
"55",3,3,11
"56",3,3.2,11
"57",3,3.4,13
"58",3,3.6,16
"59",3,3.8,11
"60",3,4,11
"61",4,0.2,10
"62",4,0.4,11
"63",4,0.6,20
"64",4,0.8,12
"65",4,1,33
"66",4,1.2,22
"67",4,1.4,23
"68",4,1.6,17
"69",4,1.8,17
"70",4,2,11
"71",4,2.2,23
"72",4,2.4,12
"73",4,2.6,13
"74",4,2.8,17
"75",4,3,12
"76",4,3.2,13
"77",4,3.4,15
"78",4,3.6,12
"79",4,3.8,11
"80",4,4,17
"81",5,0.2,34
"82",5,0.4,49
"83",5,0.6,31
"84",5,0.8,15
"85",5,1,55
"86",5,1.2,29
"87",5,1.4,22
"88",5,1.6,75
"89",5,1.8,32
"90",5,2,13
"91",5,2.2,27
"92",5,2.4,35
"93",5,2.6,12
"94",5,2.8,18
"95",5,3,74
"96",5,3.2,42
"97",5,3.4,32
"98",5,3.6,19
"99",5,3.8,34
"100",5,4,13
"101",6,0.2,277
"102",6,0.4,98
"103",6,0.6,53
"104",6,0.8,53
"105",6,1,48
"106",6,1.2,76
"107",6,1.4,88
"108",6,1.6,134
"109",6,1.8,159
"110",6,2,132
"111",6,2.2,131
"112",6,2.4,20
"113",6,2.6,48
"114",6,2.8,71
"115",6,3,206
"116",6,3.2,136
"117",6,3.4,202
"118",6,3.6,61
"119",6,3.8,176
"120",6,4,43
"121",7,0.2,554
"122",7,0.4,529
"123",7,0.6,551
"124",7,0.8,498
"125",7,1,595
"126",7,1.2,491
"127",7,1.4,566
"128",7,1.6,499
"129",7,1.8,470
"130",7,2,562
"131",7,2.2,664
"132",7,2.4,488
"133",7,2.6,591
"134",7,2.8,525
