"","p.transmit","outbreak.size"
"1",0.02,20
"2",0.02,19
"3",0.02,13
"4",0.02,14
"5",0.02,16
"6",0.02,14
"7",0.02,12
"8",0.02,18
"9",0.02,13
"10",0.02,22
"11",0.04,25
"12",0.04,35
"13",0.04,37
"14",0.04,48
"15",0.04,58
"16",0.04,15
"17",0.04,44
"18",0.04,20
"19",0.04,94
"20",0.04,85
"21",0.06,348
"22",0.06,465
"23",0.06,434
"24",0.06,460
"25",0.06,420
"26",0.06,506
"27",0.06,386
"28",0.06,404
"29",0.06,438
"30",0.06,520
"31",0.08,649
"32",0.08,724
"33",0.08,747
"34",0.08,645
"35",0.08,650
"36",0.08,648
"37",0.08,683
"38",0.08,710
"39",0.08,635
"40",0.08,680
"41",0.1,836
"42",0.1,777
"43",0.1,802
"44",0.1,793
"45",0.1,804
"46",0.1,787
"47",0.1,799
"48",0.1,773
"49",0.1,763
"50",0.1,798
"51",0.12,854
"52",0.12,851
"53",0.12,849
"54",0.12,871
"55",0.12,882
"56",0.12,828
"57",0.12,860
"58",0.12,853
"59",0.12,836
"60",0.12,870
"61",0.14,904
"62",0.14,876
"63",0.14,880
"64",0.14,897
"65",0.14,899
"66",0.14,895
"67",0.14,901
"68",0.14,888
"69",0.14,894
"70",0.14,890
"71",0.16,927
"72",0.16,924
"73",0.16,917
"74",0.16,928
"75",0.16,908
"76",0.16,934
"77",0.16,918
"78",0.16,933
"79",0.16,914
"80",0.16,917
"81",0.18,920
"82",0.18,941
"83",0.18,936
"84",0.18,928
"85",0.18,949
"86",0.18,922
"87",0.18,950
"88",0.18,937
"89",0.18,937
"90",0.18,939
"91",0.2,950
"92",0.2,952
"93",0.2,946
"94",0.2,962
"95",0.2,956
"96",0.2,939
"97",0.2,948
"98",0.2,954
"99",0.2,959
"100",0.2,942
"101",0.22,966
"102",0.22,962
"103",0.22,957
"104",0.22,948
"105",0.22,968
"106",0.22,963
"107",0.22,953
"108",0.22,956
"109",0.22,952
"110",0.22,966
"111",0.24,961
"112",0.24,959
"113",0.24,966
"114",0.24,966
"115",0.24,969
"116",0.24,961
"117",0.24,954
"118",0.24,972
"119",0.24,955
"120",0.24,960
"121",0.26,972
"122",0.26,976
"123",0.26,967
"124",0.26,974
"125",0.26,966
"126",0.26,965
"127",0.26,958
"128",0.26,976
"129",0.26,971
"130",0.26,968
"131",0.28,981
"132",0.28,972
"133",0.28,973
"134",0.28,976
"135",0.28,975
"136",0.28,982
"137",0.28,976
"138",0.28,963
"139",0.28,975
"140",0.28,976
"141",0.3,984
"142",0.3,975
"143",0.3,976
"144",0.3,974
"145",0.3,975
"146",0.3,978
"147",0.3,966
"148",0.3,975
"149",0.3,968
"150",0.3,973
"151",0.32,970
"152",0.32,969
"153",0.32,983
"154",0.32,976
"155",0.32,977
"156",0.32,971
"157",0.32,968
"158",0.32,986
"159",0.32,985
"160",0.32,970
"161",0.34,982
"162",0.34,981
"163",0.34,980
"164",0.34,982
"165",0.34,983
"166",0.34,973
"167",0.34,978
"168",0.34,977
"169",0.34,986
"170",0.34,981
"171",0.36,985
"172",0.36,976
"173",0.36,981
"174",0.36,981
"175",0.36,983
"176",0.36,980
"177",0.36,981
"178",0.36,976
"179",0.36,982
"180",0.36,987
"181",0.38,987
"182",0.38,980
"183",0.38,986
"184",0.38,986
"185",0.38,978
"186",0.38,979
"187",0.38,978
"188",0.38,985
"189",0.38,987
"190",0.38,983
"191",0.4,982
"192",0.4,982
"193",0.4,992
"194",0.4,983
"195",0.4,982
"196",0.4,983
"197",0.4,985
"198",0.4,982
"199",0.4,982
"200",0.4,977
