"","t.recovery","outbreak.size"
"1",48,28
"2",48,21
"3",48,28
"4",48,12
"5",48,23
"6",48,22
"7",48,27
"8",48,52
"9",48,11
"10",48,24
"11",96,58
"12",96,484
"13",96,380
"14",96,365
"15",96,390
"16",96,482
"17",96,399
"18",96,409
"19",96,411
"20",96,320
"21",144,666
"22",144,713
"23",144,695
"24",144,727
"25",144,757
"26",144,710
"27",144,682
"28",144,760
"29",144,686
"30",144,691
"31",192,864
"32",192,841
"33",192,832
"34",192,814
"35",192,856
"36",192,844
"37",192,854
"38",192,852
"39",192,858
"40",192,847
"41",240,906
"42",240,898
"43",240,900
"44",240,886
"45",240,907
"46",240,908
"47",240,931
"48",240,910
"49",240,903
"50",240,913
"51",288,933
"52",288,926
"53",288,954
"54",288,949
"55",288,952
"56",288,950
"57",288,942
"58",288,950
"59",288,948
"60",288,937
"61",336,966
"62",336,969
"63",336,959
"64",336,974
"65",336,958
"66",336,962
"67",336,956
"68",336,958
"69",336,971
"70",336,961
"71",384,976
"72",384,981
"73",384,968
"74",384,976
"75",384,974
"76",384,975
"77",384,981
"78",384,972
"79",384,965
"80",384,981
"81",432,979
"82",432,989
"83",432,983
"84",432,979
"85",432,989
"86",432,981
"87",432,981
"88",432,984
"89",432,981
"90",432,980
"91",480,990
"92",480,984
"93",480,993
"94",480,991
"95",480,992
"96",480,993
"97",480,986
"98",480,987
"99",480,991
"100",480,989
"101",528,993
"102",528,991
"103",528,995
"104",528,994
"105",528,995
"106",528,996
"107",528,996
"108",528,994
"109",528,999
"110",528,988
"111",576,992
"112",576,994
"113",576,992
"114",576,991
"115",576,996
"116",576,994
"117",576,994
"118",576,996
"119",576,992
"120",576,997
"121",624,999
"122",624,997
"123",624,997
"124",624,996
"125",624,998
"126",624,995
"127",624,995
"128",624,998
"129",624,994
"130",624,998
"131",672,997
"132",672,998
"133",672,998
"134",672,998
"135",672,997
"136",672,995
"137",672,995
"138",672,998
"139",672,998
"140",672,998
"141",720,1000
"142",720,1000
"143",720,998
"144",720,999
"145",720,1000
"146",720,998
"147",720,999
"148",720,997
"149",720,997
"150",720,997
"151",768,997
"152",768,998
"153",768,997
"154",768,998
"155",768,999
"156",768,999
"157",768,999
"158",768,999
"159",768,1000
"160",768,997
"161",816,999
"162",816,1000
"163",816,998
"164",816,999
"165",816,998
"166",816,999
"167",816,998
"168",816,999
"169",816,1000
"170",816,999
"171",864,1000
"172",864,1000
"173",864,1000
"174",864,1000
"175",864,1000
"176",864,1000
"177",864,1000
"178",864,1000
"179",864,1000
"180",864,1000
"181",912,1000
"182",912,1000
"183",912,1000
"184",912,999
"185",912,999
"186",912,1000
"187",912,1000
"188",912,999
"189",912,998
"190",912,1000
"191",960,999
"192",960,1000
"193",960,1000
"194",960,1000
"195",960,999
"196",960,998
"197",960,1000
"198",960,1000
"199",960,1000
"200",960,1000
