"","group.size","outbreak.size"
"1",1,10
"2",1,10
"3",1,10
"4",1,10
"5",1,10
"6",1,10
"7",1,10
"8",1,10
"9",1,10
"10",1,10
"11",1,10
"12",1,10
"13",1,10
"14",1,10
"15",1,10
"16",1,10
"17",1,10
"18",1,10
"19",1,10
"20",1,10
"21",1,10
"22",1,10
"23",1,10
"24",1,10
"25",1,10
"26",1,10
"27",1,10
"28",1,10
"29",1,10
"30",1,10
"31",1,10
"32",1,10
"33",1,10
"34",1,10
"35",1,10
"36",1,10
"37",1,10
"38",1,10
"39",1,10
"40",1,10
"41",1,10
"42",1,10
"43",1,10
"44",1,10
"45",1,10
"46",1,10
"47",1,10
"48",1,10
"49",1,10
"50",1,10
"51",2,10
"52",2,12
"53",2,10
"54",2,11
"55",2,10
"56",2,11
"57",2,10
"58",2,11
"59",2,11
"60",2,10
"61",2,11
"62",2,12
"63",2,10
"64",2,10
"65",2,10
"66",2,11
"67",2,11
"68",2,11
"69",2,11
"70",2,10
"71",2,11
"72",2,10
"73",2,10
"74",2,10
"75",2,10
"76",2,10
"77",2,11
"78",2,12
"79",2,11
"80",2,10
"81",2,11
"82",2,10
"83",2,10
"84",2,12
"85",2,10
"86",2,10
"87",2,10
"88",2,12
"89",2,11
"90",2,10
"91",2,11
"92",2,10
"93",2,10
"94",2,11
"95",2,12
"96",2,12
"97",2,11
"98",2,10
"99",2,11
"100",2,11
"101",3,11
"102",3,13
"103",3,13
"104",3,13
"105",3,12
"106",3,14
"107",3,15
"108",3,13
"109",3,14
"110",3,14
"111",3,12
"112",3,11
"113",3,21
"114",3,11
"115",3,11
"116",3,14
"117",3,16
"118",3,11
"119",3,14
"120",3,10
"121",3,13
"122",3,15
"123",3,10
"124",3,10
"125",3,11
"126",3,17
"127",3,17
"128",3,12
"129",3,10
"130",3,12
"131",3,21
"132",3,16
"133",3,13
"134",3,10
"135",3,14
"136",3,14
"137",3,13
"138",3,14
"139",3,17
"140",3,11
"141",3,13
"142",3,11
"143",3,12
"144",3,15
"145",3,10
"146",3,12
"147",3,16
"148",3,10
"149",3,10
"150",3,11
"151",4,14
"152",4,21
"153",4,20
"154",4,11
"155",4,13
"156",4,15
"157",4,11
"158",4,14
"159",4,17
"160",4,20
"161",4,11
"162",4,27
"163",4,13
"164",4,21
"165",4,17
"166",4,15
"167",4,26
"168",4,14
"169",4,12
"170",4,12
"171",4,20
"172",4,22
"173",4,18
"174",4,12
"175",4,10
"176",4,20
"177",4,21
"178",4,16
"179",4,34
"180",4,26
"181",4,12
"182",4,21
"183",4,15
"184",4,15
"185",4,21
"186",4,22
"187",4,21
"188",4,17
"189",4,16
"190",4,29
"191",4,22
"192",4,20
"193",4,11
"194",4,14
"195",4,21
"196",4,11
"197",4,40
"198",4,12
"199",4,21
"200",4,13
"201",5,21
"202",5,54
"203",5,23
"204",5,16
"205",5,21
"206",5,12
"207",5,18
"208",5,15
"209",5,38
"210",5,15
"211",5,25
"212",5,35
"213",5,20
"214",5,29
"215",5,41
"216",5,35
"217",5,20
"218",5,19
"219",5,40
"220",5,33
"221",5,38
"222",5,39
"223",5,40
"224",5,53
"225",5,21
"226",5,18
"227",5,42
"228",5,43
"229",5,27
"230",5,29
"231",5,29
"232",5,18
"233",5,29
"234",5,19
"235",5,58
"236",5,45
"237",5,27
"238",5,28
"239",5,15
"240",5,28
"241",5,30
"242",5,19
"243",5,32
"244",5,21
"245",5,31
"246",5,31
"247",5,19
"248",5,41
"249",5,60
"250",5,18
"251",6,85
"252",6,24
"253",6,114
"254",6,50
"255",6,53
"256",6,37
"257",6,75
"258",6,43
"259",6,63
"260",6,77
"261",6,47
"262",6,40
"263",6,123
"264",6,90
"265",6,155
"266",6,39
"267",6,64
"268",6,137
"269",6,50
"270",6,87
"271",6,56
"272",6,130
"273",6,223
"274",6,25
"275",6,67
"276",6,118
"277",6,65
"278",6,40
"279",6,55
"280",6,93
"281",6,35
"282",6,158
"283",6,70
"284",6,238
"285",6,54
"286",6,85
"287",6,54
"288",6,83
"289",6,78
"290",6,93
"291",6,18
"292",6,132
"293",6,118
"294",6,139
"295",6,81
"296",6,131
"297",6,81
"298",6,45
"299",6,81
"300",6,66
"301",7,461
"302",7,371
"303",7,249
"304",7,265
"305",7,177
"306",7,292
"307",7,324
"308",7,197
"309",7,218
"310",7,256
"311",7,309
"312",7,71
"313",7,300
"314",7,519
"315",7,389
"316",7,320
"317",7,338
"318",7,434
"319",7,258
"320",7,310
"321",7,381
"322",7,283
"323",7,390
"324",7,340
"325",7,338
"326",7,431
"327",7,348
"328",7,221
"329",7,163
"330",7,383
"331",7,173
"332",7,208
"333",7,362
"334",7,166
"335",7,398
"336",7,478
"337",7,292
"338",7,272
"339",7,165
"340",7,25
"341",7,401
"342",7,274
"343",7,322
"344",7,426
"345",7,231
"346",7,374
"347",7,244
"348",7,433
"349",7,313
"350",7,316
"351",8,740
"352",8,711
"353",8,690
"354",8,694
"355",8,602
"356",8,728
"357",8,710
"358",8,565
"359",8,653
"360",8,554
"361",8,710
"362",8,687
"363",8,693
"364",8,689
"365",8,743
"366",8,671
"367",8,515
"368",8,694
"369",8,693
"370",8,671
"371",8,643
"372",8,714
"373",8,663
"374",8,635
"375",8,658
"376",8,698
"377",8,588
"378",8,739
"379",8,691
"380",8,524
"381",8,672
"382",8,645
"383",8,652
"384",8,713
"385",8,722
"386",8,667
"387",8,717
"388",8,750
"389",8,670
"390",8,688
"391",8,684
"392",8,738
"393",8,695
"394",8,647
"395",8,708
"396",8,553
"397",8,611
"398",8,674
"399",8,678
"400",8,730
"401",9,835
"402",9,856
"403",9,827
"404",9,845
"405",9,817
"406",9,835
"407",9,848
"408",9,833
"409",9,794
"410",9,818
"411",9,844
"412",9,827
"413",9,815
"414",9,826
"415",9,831
